movie_id,title,genre,overview,rating,price,poster_url
33,Under the Sea Kingdom,Animation,A young mermaid explores forbidden waters and uncovers an ancient secret.,8.0,179,https://picsum.photos/seed/movie33/400/600
34,Robot Friends,Animation,Two mismatched robots build an unlikely friendship while lost in the city.,7.9,169,https://picsum.photos/seed/movie34/400/600
35,The Forest Spirits,Animation,Magical forest spirits protect their home from encroaching machines.,8.3,199,https://picsum.photos/seed/movie35/400/600
36,Silent Pursuit,Thriller,A detective races against time to catch a killer who mimics his own cases.,8.1,209,https://picsum.photos/seed/movie36/400/600
37,The Whistleblower,Thriller,A corporate employee risks everything to expose a massive cover-up.,7.8,189,https://picsum.photos/seed/movie37/400/600
38,Blind Spot,Thriller,A witness to a crime slowly realizes she's the next target.,7.6,179,https://picsum.photos/seed/movie38/400/600
39,Dead Drop,Thriller,A courier discovers the package she's carrying could start a war.,7.9,199,https://picsum.photos/seed/movie39/400/600
40,The Long Con,Thriller,A con artist's biggest scheme unravels when her past catches up.,8.0,209,https://picsum.photos/seed/movie40/400/600
41,Vanishing Point,Thriller,A journalist investigates a string of disappearances tied to her own family.,7.7,189,https://picsum.photos/seed/movie41/400/600
42,Iron Contract,Action,An ex-soldier is pulled back into a world of mercenaries for one last job.,8.0,229,https://picsum.photos/seed/movie42/400/600
43,Steel Rain,Action,A city under siege depends on one officer to hold the line.,7.8,219,https://picsum.photos/seed/movie43/400/600
44,The Getaway Driver,Action,A retired driver is forced back behind the wheel to save his family.,7.9,209,https://picsum.photos/seed/movie44/400/600
45,Crimson Squad,Action,An elite squad must infiltrate an island fortress to stop a warlord.,8.2,239,https://picsum.photos/seed/movie45/400/600
46,Rogue Protocol,Action,A disavowed agent goes on the run while hunting the truth behind his betrayal.,8.1,229,https://picsum.photos/seed/movie46/400/600
47,Skyline Assault,Action,A team of specialists must stop a hijacked skyscraper from being used as a weapon.,7.7,219,https://picsum.photos/seed/movie47/400/600
